created_at,text
2015-09-17 15:10:16 +0000,"BLS shows NJ’s private sector employment expand by 13,800 in the month of August and has grown to more than 191,000 jobs under my watch."
2015-09-17 15:09:38 +0000,The numbers are out &amp; NJ’s unemployment rate is down again dropping to 5.7% - down from nearly 10% when I took office http://t.co/v9uUEcfrqv
2015-09-15 15:54:21 +0000,I have always made clear my support for a tunnel plan that is viable &amp; fair to NJ taxpayers - and this proposal meets that commitment.
2015-09-15 15:53:25 +0000,"This is a fair &amp; realistic proposal for the fed gov't to step up and commit 50% with @PANYNJ, NY &amp; NJ preparing a plan to fund the other 50%"
2015-09-15 15:52:54 +0000,Today @GovCuomo &amp; I sent @POTUS a funding proposal for a new trans-Hudson rail tunnel that calls for a 50%fed funding http://t.co/jhn4BMxQbn
2015-09-13 20:33:55 +0000,L’shana tova u’metukah!
2015-09-11 12:18:05 +0000,"On the 14th anniversary of the terrorist attacks of Sept 11, 2001 we pause to remember those who lost their lives. http://t.co/Kly3J0BrrZ"
2015-09-09 17:37:34 +0000,I'll be on @nj1015 #AskGov tonight at 7pm. Tune in! http://t.co/W3SaYwHm5E
2015-09-02 20:41:48 +0000,My Admin has taken action &amp; outlined NJs opposition as a clean energy state already making progress w/o federal gov't http://t.co/7Bjo02w7K5
2015-09-02 20:39:55 +0000,The EPA's Clean Power Plan is fundamentally flawed and NJ is acting to stop the latest overreach of Obama's EPA
2015-08-23 14:41:55 +0000,"Saluting NJ’s Finest @NJSP for their heroic response, saving a life on the @NJTurnpike. Job well done! #jerseypride  http://t.co/XcN0LfIsIS"
2015-08-20 16:40:52 +0000,"Our unemployment rate was almost 10% when I took office, but today it's down to 5.9%. http://t.co/UOZXvK6jM2"
2015-08-20 16:40:16 +0000,New job numbers today shows NJ unemployment rate is now at its lowest level since Sept. 2008 – 7 years ago
2015-08-18 18:11:50 +0000,Good mtg w/@CoryBooker @SenatorMenendez &amp; Sec.Foxx on a Hudson River Tunnel project.Our STMT: http://t.co/3rw1VtJJGU http://t.co/kPtoMUIGi8
2015-08-16 19:05:26 +0000,Good luck to Jackson Twp Little League in the Mid-Atlantic Championship Game today against Red Land #jerseypride
2015-08-02 23:07:30 +0000,New Jersey celebrates Triple Crown Champion @amer_pharoah winning today’s #Haskell2015 @MonmouthPark. Congratulations!
2015-07-31 16:07:17 +0000,Today all State buildings are flying their flags at half-staff in honor of EMT Hinal Patel. Our sincere sympathy to her family &amp; fellow EMTs
2015-07-28 18:32:45 +0000,We announced a $4M statewide body camera initiative for NJ State Police and grants to help local police buy body cams
2015-07-28 18:32:17 +0000,"Today w/ support from both law enforcement and community groups, we're strengthening community policing in NJ"
2015-07-28 18:31:37 +0000,"As I told @jaketapper, I've been an advocate of body cameras for law enforcement - for their safety &amp; ppl they serve http://t.co/NoNdjPVDh8"
2015-07-24 19:53:04 +0000,Amtrak’s failures were unacceptable this week and I am demanding accountability from them http://t.co/X2AI4gX0v5
2015-07-23 20:31:04 +0000,Today @SpringLakeBoro we took another important step to strengthen our shore communities for the future. #ItsAShoreThing
2015-07-21 18:47:10 +0000,We mourn the devastating loss of the victims of this tragedy and offer our deepest sympathies to their families and loved ones
