created_at,text
2015-09-18 11:13:57 +0000,@DCwatch16 Thanks for your support.
2015-09-17 23:05:16 +0000,"We should not end birthright citizenship, https://t.co/w3xS3tMfDh. #ConstitutionDay"
2015-09-17 15:48:18 +0000,The economy must grow and we have an answer...http://t.co/mOMT4AdkZx
2015-09-17 03:12:28 +0000,"With proper leadership we will restore our military and our economy #GOPDebate 
http://t.co/HTviBCwDRu"
2015-09-17 02:59:21 +0000,My pick for a woman on $10 bill - Mary Ludwig Hays - also known as Molly Pitcher - https://t.co/AOxiSlcpAH
2015-09-17 02:56:00 +0000,Thanks @DeirdreBolton for the time on your show today @foxbusiness - view it here http://t.co/UxNMkDxOEH
2015-09-17 02:27:36 +0000,Jeb Bush's defense of John Roberts shows he is out of touch. #CNNDebate #GOPDebate
2015-09-17 01:45:22 +0000,Gov. Walker does not understand how wages go up.
2015-09-17 01:44:59 +0000,#GOPDebate needs to discuss how you really grow the economy to create jobs.  #thegrowthcode     http://t.co/HTviBCwDRu
2015-09-17 01:41:02 +0000,Let's have a tax reform that will grow the economy and Wages! https://t.co/XacdaD5BIP #GOPDebate
2015-09-17 01:35:05 +0000,American people really don't care about the failings of Trump and Fiorina business dealings.
2015-09-17 01:28:05 +0000,Trump doesn't understand the Constitution or birthright citizenship - https://t.co/w3xS3tMfDh  #GOPDebate
2015-09-17 01:15:30 +0000,Ducking the tough question @jaketapper is asking....Dr. Carson waffles.
2015-09-17 01:06:30 +0000,Not one candidate on the debate stage has military experience and it shows. #GOPDebate
2015-09-17 00:55:57 +0000,Huckabee calls for disobedience of the law.
2015-09-17 00:52:01 +0000,Iran agreement makes the future more difficult.  Experience is needed now more more than ever....http://t.co/qxRo7jF165  #GOPDebate
2015-09-17 00:50:30 +0000,Regarding Rand Paul - inaction is not a foreign policy.   #GOPDebate
2015-09-17 00:39:57 +0000,We need a NEW Middle East NATO to attack ISIS and control the Russian incursion in Syria. #GOPDebate
2015-09-17 00:33:40 +0000,Did Trump try to buy Jeb Bush?  #GOPDebate
2015-09-17 00:32:16 +0000,#GOPDebate so far all process and nothing to tweet about....www.gilmoreforamerica.com
2015-09-17 00:29:18 +0000,So far everything is about the candidates and not about the challenges facing America.
2015-09-17 00:24:03 +0000,Trump's mocking expressions show him to be truly not Presidential.
2015-09-17 00:21:34 +0000,Fiorina ducked the question.
2015-09-16 23:32:19 +0000,New aggression by Russia is world's greatest danger #gopdebate
2015-09-16 23:28:35 +0000,Proper Presidential leadership would make a military strike on Iran unneccesary.
2015-09-16 23:19:43 +0000,Gilmore Plan is for better jobs and higher wages - restore our economy now - http://t.co/Cs2YFjiEfU
2015-09-16 23:16:18 +0000,The Growth Code tax reform plan does not eliminate the mortgage deduction! http://t.co/Cs2YFjiEfU
2015-09-16 23:02:23 +0000,If Santorum becomes president he will have to obey the law to.
2015-09-16 23:00:49 +0000,Sen. Santorum position makes no sense.
2015-09-16 22:41:13 +0000,Gov. Pataki dodged the Birthright Citizenship issue.  I don't.
2015-09-16 22:36:44 +0000,My immigration plan does not include a path to citizenship for illegal immigrants - http://t.co/Oq6K7ZBcKX
2015-09-16 22:32:31 +0000,Sen. Graham is wrong about sending tens of thousands of troops into Syria and Iraq.
2015-09-16 22:30:42 +0000,Debate so far is about the wrong things.
2015-09-16 21:22:30 +0000,.@foxbusiness right now. Tune in.
2015-09-15 20:49:23 +0000,Thanks for the mention about the Growth Code this morning. https://t.co/btRX8hjHKo
2015-09-15 18:10:52 +0000,Currently reading http://t.co/MQxImXhaj0
2015-09-15 15:58:34 +0000,Good time this weekend in NH: GOP Women's Chili Fest in Stratham | New Hampshire  https://t.co/pQUrxnrHIx via @sharethis
2015-09-14 16:18:51 +0000,My Tax Reform #TheGrowthCode - @GroverNorquist explains this simple and effective plan to grow US economy - http://t.co/mOMT4AdkZx
2015-09-13 14:56:11 +0000,"On the way to Pembroke, New Hampshire today - speaking this afternoon. 2-4pm Cornerstone Family Gathering https://t.co/akqg1zkMVe…"
2015-09-12 11:16:54 +0000,On my way to New Hampshire for the 9th time this year - http://t.co/HTviBCwDRu
2015-09-12 02:44:25 +0000,Gov. Gilmore on challenges of accepting Syrian refugees http://t.co/f7M2PBkRLL
2015-09-12 02:02:08 +0000,"@KylarNicholasGr Thanks for your good wishes, Kylar."
2015-09-11 22:32:29 +0000,I like Rick Perry. We have liked his team. He has all my good wishes.
2015-09-11 21:46:16 +0000,Going on @foxbusiness right now. Tune in.
2015-09-11 20:34:50 +0000,.@teamcavuto good time again on the show. http://t.co/3DF9rbFTKm
2015-09-11 14:02:10 +0000,"Today we honor the victims, the survivors, and the heroes of that tragic day 14 years ago.   #NeverForget911"
