created_at,text
2015-09-19 17:42:45 +0000,Great to be back in #Iowa this weekend! #ImWithHuck http://t.co/wXulr9Eo6U
2015-09-17 22:37:23 +0000,http://t.co/ejrxeXZtjT #ConstitutionDay #ImWithHuck http://t.co/VQtyacJCpe
2015-09-17 21:22:15 +0000,"ICYMI: Most dangerous person in any room is person who doesn’t know what he doesn't know. cc @POTUS #CNNDebate
https://t.co/KcY1Kb7oDA"
2015-09-17 21:16:12 +0000,"ICYMI: What else is it other than the criminalization of her faith? #KimDavis #ReligiousLiberty #CNNDebate
https://t.co/jiOmKZcjbL"
2015-09-17 21:13:29 +0000,"ICYMI: #RonaldReagan got elected by telling everybody how great the American people were. #ImWithHuck #CNNDebate
https://t.co/tzj9Yk4zNH"
2015-09-17 20:50:59 +0000,@SCPioneer @THEHermanCain thank you!
2015-09-17 20:49:25 +0000,@RepublicanMO thank you!
2015-09-17 16:34:36 +0000,@GrannyT6 thank you!
2015-09-17 05:00:24 +0000,"#RonaldReagan got elected by telling everybody how great the American people were. #ImWithHuck #CNNDebate
https://t.co/ultdPAMDhE"
2015-09-17 04:34:00 +0000,"Most dangerous person in any room is person who doesn’t know what he doesn’t know. cc @POTUS #ImWithHuck #CNNDebate
https://t.co/DZdbB2wGHQ"
2015-09-17 04:11:28 +0000,"What else is it other than the criminalization of her faith? #KimDavis #ReligiousLiberty #ImWithHuck #CNNDebate
https://t.co/1tHjb2rpSF"
2015-09-17 03:40:35 +0000,Help me take America from Hope to Higher Ground! --&gt; http://t.co/Vegoj0F3ig #ImWithHuck #CNNDebate
2015-09-17 03:01:03 +0000,#DuckHunter http://t.co/B7AaafmZRo
2015-09-17 02:16:21 +0000,The next President must have Executive experience #ImWithHuck #CNNDebate
2015-09-17 02:15:51 +0000,The most dangerous person in the room is always the one who doesn't know what they don't know. #ImWithHuck #CNNDebate
2015-09-17 02:06:12 +0000,You kill ISIS like you'd kill a rattlesnake. Step 1: Grab a shotgun. Step 2: Blow it’s head off. #CNNDebate
2015-09-17 02:01:48 +0000,We underestimate the radical nature of the animals who run the terrorist state of Iran. #CNNDebate #ImWithHuck
2015-09-17 01:49:04 +0000,http://t.co/79i619Sbc7
2015-09-17 01:48:59 +0000,Are you ready to abolish the #IRS once-and-for-all? Then support our campaign --&gt; http://t.co/Vegoj0nrTG #FairTax #ImWithHuck #CNNDebate
2015-09-17 01:43:40 +0000,Join the fight to abolish the IRS http://t.co/7EBs9FGJnM #fairtax #imwithhuck #cnndebate
2015-09-17 01:42:42 +0000,"The FairTax is the ONLY plan that eliminates our 75,000 page tax code and abolishes the IRS once-and-for-all! #CNNDebate"
