created_at,text
2015-09-19 16:56:59 +0000,There will be plenty more! Check back soon. Thx for sharing. http://t.co/dy8KnZ122T to sign up and get involved! https://t.co/2EGEMlsfgk
2015-09-19 16:54:10 +0000,Tune in shortly for Gov. @JohnKasich's remarks at the @MIGOP #MRLC event on Mackinac! #Kasich4Us http://t.co/vrPmhhzUC2
2015-09-19 15:13:04 +0000,Shout out to @zabriskie_a - Thx for your help last week! Let’s win! #FITN #NHPolitics http://t.co/JWyqPLQJDF
2015-09-19 15:04:06 +0000,Tune in Sunday - Gov. @JohnKasich will be on @meetthepress with @chucktodd - Check your local listing for time http://t.co/CBRimG4fsF
2015-09-19 13:47:08 +0000,Looking forward to seeing #MRLC attendees at our #Kasich4Us event today! See you there! https://t.co/0Q86xCnPpy
2015-09-18 22:45:10 +0000,Our #Kasich4Us team is fired up for #MRLC in MI tomorrow! See you there! http://t.co/tSHoF54njr
2015-09-18 20:20:04 +0000,"Enough is enough. Americans deserve a president who can move America ahead and get the job done. #Kasich4Us
https://t.co/OyB5YoyGYT"
2015-09-18 16:04:09 +0000,Looking fwd to #MRLC Mackinac events! Thx #Kasich4Us volunteers! @MIGOP @michiganstateu @CMUniversity #Kasich4MI http://t.co/xNAf2Hm6x1
2015-09-18 13:55:46 +0000,"Gov. @JohnKasich showed in the #CNNDebate that he is ready to lead America. Pls help us share this video! #Kasich4Us
https://t.co/1tuQvQne3Y"
2015-09-17 21:22:04 +0000,Tune in tonight! Gov. @JohnKasich will be on @FoxNews @oreillyfactor at 8:20PM EDT - Pls RT #Kasich4Us http://t.co/dloIL2JE0O
2015-09-17 18:31:54 +0000,Glad to have @coryjcrowley on board - let's win! #Kasich4Us #FITN https://t.co/PKQ4Gr7Vmy
2015-09-17 16:42:48 +0000,From @KansasGOP - Gov. @JohnKasich is the 1st presidential candidate to file for the Kansas GOP caucus #FITN http://t.co/gBqMRYV9Jd
2015-09-17 15:56:12 +0000,Proud to announce that former N.H. Senate Pres. Ed Dupont is endorsing Gov. @JohnKasich #FITN #NHPolitics https://t.co/6Cn8VA1MWJ
2015-09-17 15:34:44 +0000,"Gov. John Kasich showed America that he is ready to lead - Learn more &amp; join the team today! http://t.co/dy8KnYJqEj
https://t.co/A6YJbknErI"
2015-09-17 03:49:45 +0000,Americans deserve strong leadership ready to drive our nation ahead. #CNNDebate #Kasich4Us http://t.co/LgVReaIfLo
2015-09-17 03:33:03 +0000,"Let's revive the concept of citizenship where everybody's actions make a huge difference in changing the world.
https://t.co/CnkropmQtp"
2015-09-17 03:20:25 +0000,John Kasich stands out as the responsible and experienced leader America needs. #CNNDebate #Kasich4Us https://t.co/AbqpM9djzM
2015-09-17 03:12:05 +0000,Team #Kasich4Us - Chip in $5 or more via http://t.co/MkFWzzRB8l to help us keep up our momentum! #CNNDebate @SquareCash
2015-09-17 02:53:49 +0000,The challenges facing us are great. America needs a leader who knows how to bring people together to solve them. http://t.co/Karf4GUmiZ
2015-09-17 02:42:59 +0000,This is leadership. #CNNDebate #Kasich4Us http://t.co/v2FTQzSJec
2015-09-17 02:40:44 +0000,Big thanks to a group of our supporters in NH mobilizing for a debate watch party in Manchester.  #FITN #NHPolitics http://t.co/XiLXTqpPqw
2015-09-17 02:36:59 +0000,"ON ISIS: It's time to wake up. It's time to call ISIS out for what they are -- murderers and rapists. #CNNDebate
https://t.co/zutpghsUrg"
2015-09-17 02:27:50 +0000,#Leadership  https://t.co/ebHVgkDEv5
2015-09-17 02:10:37 +0000,"Want to make sure Hillary doesn't win Ohio, the ultimate swing state? #CNNDebate https://t.co/UAtveQBV3z"
2015-09-17 02:02:53 +0000,"Americans want a President able to lead from Day One. John Kasich is ready. #CNNDebate #Kasich4Us
https://t.co/muERGbyjEV"
2015-09-17 01:42:26 +0000,Giving 5 free #Kasich4Us bumper stickers away - random from the first 250 RTs! GO!! #CNNDebate http://t.co/3Xc4j84WLw
2015-09-17 01:38:15 +0000,No one has more experience at balancing budgets than @JohnKasich. Nobody.  #Kasich4Us #CNNDebate http://t.co/RGwULyUBxr
2015-09-17 01:34:40 +0000,Gov. Kasich has balanced the budget before and he can get it done again. #CNNDebate #Kasich4Us http://t.co/sDIMlmIi7x
2015-09-17 01:32:56 +0000,"Before John Kasich, Ohio was 48th in job creation. Today, Ohio is a top ten state. #Kasich4Us #CNNDebate http://t.co/nnJNYZh1LQ"
2015-09-17 01:27:47 +0000,Liberals are again attacking @JohnKasich for defending the sanctity of life. He'll never back down. #CNNDebate https://t.co/FSiMWqkDmX
2015-09-17 01:07:16 +0000,Gov. Kasich has the national security experience America needs. 18 years on the Armed Services Committee. #CNNDebate http://t.co/UVB1iugnjp
2015-09-17 01:03:30 +0000,No governor in Ohio history has done more to preserve the sanctity of life than @JohnKasich. #Kasich4Us #CNNDebate http://t.co/n8xKAsRzQs
2015-09-17 00:57:45 +0000,"All life matters, and John Kasich has made its preservation a priority in Ohio. #Kasich4Us #CNNDebate http://t.co/WhVBl7ytVp"
2015-09-17 00:56:55 +0000,John Kasich has national security experience America needs. Learn about his priorities here: http://t.co/tu1y53faA5 #CNNDebate
2015-09-17 00:55:16 +0000,Giving a free #Kasich4Us hat away - random from the first 250 RTs! GO!! #CNNDebate #FITN http://t.co/78UbLfQnXn
2015-09-17 00:42:31 +0000,"This is what leadership looks like. #CNNDebate
https://t.co/oBftDXp4et"
2015-09-17 00:42:04 +0000,"Kasich on the Iran Deal: ""It's a bad agreement and I never would have done it."" #CNNDebate"
2015-09-17 00:29:46 +0000,#Leadership https://t.co/BvKdMdprtK
2015-09-17 00:27:41 +0000,"Want to talk balanced budgets?

Gov. Kasich is the only candidate on stage who balanced both a federal &amp; state budget http://t.co/ft7SKAQS43"
2015-09-17 00:27:19 +0000,Check out our new online donation giving option - Show your support today! http://t.co/MkFWzzRB8l #Kasich4Us #CNNDebate @SquareCash
2015-09-17 00:09:57 +0000,Show your support with the latest #Kasich4Us gear! http://t.co/R6J1br8cg3 #CNNDebate #FITN http://t.co/yukCQWH7E4
2015-09-16 23:45:49 +0000,"Gov. Kasich is ready at the #ReaganLibrary. That same Reagan optimism will win back the White House. #CNNDebate
https://t.co/PZ1FGoNwGY"
2015-09-16 23:43:09 +0000,We appreciate the support in New Hampshire tonight! https://t.co/990Q7yreY6
2015-09-16 23:14:42 +0000,Relaxed and ready. Hope everyone can tune in to the #CNNDebate at 8pm EST. -John http://t.co/6lJ0JRBXfq
2015-09-16 22:26:59 +0000,Tune in to the #CNNDebate at 8PM EDT tonight to support Gov. @JohnKasich and pls RT our posts! http://t.co/DWzuMT0cwm
2015-09-16 21:51:53 +0000,"Trent Lott knows why John Kasich stands out in a crowded GOP field. 

""He's got it all."" 

#CNNDebate
https://t.co/3UvIbih3D1"
2015-09-16 20:01:58 +0000,Got my game face on! Ready to have some fun tonight at the #CNNDebate. -John http://t.co/sztZQwJ0AD
2015-09-16 18:49:35 +0000,Member of the media? Be sure to follow @TeamJohnKasich for updates from our Communications team. #KasichForUs
