created_at,text
2015-09-19 17:05:18 +0000,"Looking forward to visiting Jackson, Michigan on Wednesday. I hope to see you there! Click here for details: http://t.co/7oZQqTvdv6"
2015-09-19 14:16:36 +0000,I will be on @MeetThePress with @ChuckTodd tomorrow. Tune in!
2015-09-19 13:49:05 +0000,A photo from one of our campus debate watch parties. Sign up today for #Students4Carson! https://t.co/ZnabQuiuC4 http://t.co/vodX8UKU01
2015-09-18 20:39:58 +0000,http://t.co/ZXuNPlCvxt
2015-09-18 16:22:10 +0000,"""Poll: Carson edges Trump as most likely to win GOP nomination"" http://t.co/VUo4cWT6MN via @DCExaminer"
2015-09-17 22:16:23 +0000,Looking forward to being on the @oreillyfactor tonight! https://t.co/VH1TLWtMwN
2015-09-17 17:38:56 +0000,"Happy #ConstitutionDay! ""We the People of the United States..."" will #HealInspireRevive http://t.co/reitvGMa8i"
2015-09-17 15:46:52 +0000,"""Ben Carson, Donald Trump top Michigan poll of Republican presidential candidates"" http://t.co/laYNimDohM via @mlive"
2015-09-17 14:23:23 +0000,"""The secret to Ben Carson’s quiet rise: Likability"" http://t.co/0uxHvkppAP via @washtimes"
2015-09-17 13:52:00 +0000,We fought for Carly to be included in the debate. Political outsiders are winning the conversation. http://t.co/hhLXe31WpG via @bpolitics
2015-09-17 03:48:03 +0000,I will be on #KellyFile tonight at Midnight (ET). https://t.co/DqzLYqGD4Y
2015-09-17 03:31:21 +0000,A leader that understands what you say is important – not how loud you scream it. We the People won the #CNNDebate tonight. #BC2DC16
2015-09-16 23:58:57 +0000,"Once more, I step aside Lord, let your voice resonate above all."
2015-09-16 23:44:49 +0000,Looking forward to the #CNNDebate starting in just a few minutes. Watch LIVE: http://t.co/agK9aOjOGN via @CNNPolitics
2015-09-16 22:28:41 +0000,"Looking forward to #CNNDebate tonight at 8PM (ET). More about ""Why"" I am running here: http://t.co/jVFGbUhMua http://t.co/jUunLWluSN"
2015-09-16 19:25:07 +0000,Two amazing milestones in one day as we just reached 3 Million Likes on Facebook and 600K followers on Twitter in one day! #BC2DC16
2015-09-16 17:51:01 +0000,"To all the aspiring minds in school across the country, remember to tag your pictures and videos with #Students4Carson tonight! #BC2DC16"
2015-09-16 17:16:50 +0000,"We just reached 600,000 followers on Twitter. Thank you!"
2015-09-16 13:12:09 +0000,"We're closing in on first place! ""New Hampshire poll: Ben Carson within 4 points of Donald Trump"" http://t.co/cTcHvWWCyK via @CNNPolitics"
2015-09-15 22:40:12 +0000,Looking forward to joining @megynkelly on #KellyFile tonight at 9PM (ET). Make sure to tune in! #BC2DC16
2015-09-15 21:23:02 +0000,"""Dr. Ben Carson leads Maryland GOP straw poll"" http://t.co/QiXUuXdB9C via @wbaltv11"
2015-09-15 15:29:08 +0000,"My @ijreview op-ed: ""The Hope and Change America Needs"" http://t.co/V1Te6OWkot"
2015-09-15 13:38:55 +0000,"""Today in Politics: In New Poll, Ben Carson Pulls Up Alongside an Idling Donald Trump"" http://t.co/csbkttY00f via @NYTPolitics"
2015-09-14 17:36:34 +0000,Ben Carson: Veterans health care needs bold reform - I know from inside http://t.co/gvQyJ0Sy9f via @usatoday
2015-09-13 21:24:52 +0000,Candy got to meet with some great people this weekend in New Hampshire. #BC2DC16 http://t.co/nEYxhopZwI
2015-09-13 19:10:45 +0000,"""Ben Carson visits Ferguson with a call to get past race"" http://t.co/E7ua5J0Scm"
2015-09-12 19:29:19 +0000,http://t.co/j31hsrpysj
2015-09-12 18:29:06 +0000,"We will #HealInspireRevive
https://t.co/NW5BsXgo9I"
2015-09-11 12:59:21 +0000,http://t.co/BWDGGhWmiC
2015-09-09 23:20:22 +0000,"An amazing crowd of over 6,500 people at our rally in Anaheim this afternoon. Thank you for the support! #BC2DC16 http://t.co/1ebT0JJmvd"
2015-09-09 15:26:33 +0000,"Come to our rally this afternoon at 2:30 (PT) in Anaheim, CA. Doors open at 1:30. RSVP here: https://t.co/G1Dr2wsvsM"
2015-09-08 18:37:01 +0000,"Looking forward to speaking at our rally in Anaheim, CA tomorrow at 2:30 (PT). I hope to see you there! RSVP here: https://t.co/G1Dr2wsvsM"
2015-09-08 16:07:58 +0000,Dr. Ben Carson: 'The Ladders of Opportunity Are There' http://t.co/1GEbJePNvv via @BreitbartNews
2015-09-06 22:35:04 +0000,"""Non-confrontational style, social media aiding Ben Carson's surge in polls"" http://t.co/C7EjjJvtiT via @usatoday"
2015-09-06 22:31:23 +0000,"Common sense solutions from We the People, not the loudest rhetoric: Why Ben Carson is gaining ground in primary race http://t.co/hph5vGWYLO"
2015-09-06 21:37:31 +0000,Our apparel store is available for your campaign merchandise needs. Check it out now! Click here: http://t.co/RCxVic2BVp
